Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,790.10","17,811.15","17,652.55","17,721.50","-43.10","-0.24","3,543.97","23,610.86","18,887.60","15,183.40","2.95","-2.10"
"ADANIENT","1,571.00","1,962.70","1,525.60","1,813.00","240.30","15.28","191.88","3,385.64","4,190.00","1,017.45","4.69","-52.97"
"DRREDDY","4,380.65","4,468.25","4,360.25","4,434.00","84.45","1.94","5.97","265.10","4,625.00","3,654.00","2.90","2.31"
"ADANIPORTS","550.00","598.45","543.00","555.95","10.50","1.93","466.51","2,673.74","987.85","395.10","-22.26","-31.92"
"KOTAKBANK","1,752.20","1,780.00","1,747.05","1,772.00","25.00","1.43","36.43","642.83","1,997.55","1,631.00","-3.09","-2.20"
"INDUSINDBK","1,134.00","1,148.15","1,122.50","1,141.00","11.85","1.05","36.03","410.23","1,275.80","763.20","22.29","-6.37"
"ONGC","143.90","144.95","142.20","144.75","1.25","0.87","86.82","124.84","194.95","119.85","-15.89","-2.29"
"BAJFINANCE","6,122.95","6,182.00","6,100.00","6,154.00","49.80","0.82","14.72","905.68","7,778.00","5,220.00","-11.21","2.68"
"BAJAJ-AUTO","3,873.00","3,895.00","3,818.20","3,880.00","30.90","0.80","2.47","95.39","4,131.75","3,125.00","11.62","7.16"
"EICHERMOT","3,277.05","3,299.00","3,240.05","3,278.00","17.30","0.53","4.47","146.11","3,864.10","2,159.55","26.01","0.47"
"BAJAJFINSV","1,345.15","1,362.35","1,337.10","1,349.00","5.95","0.44","16.04","216.56","1,844.00","1,072.72","-91.41","-4.60"
"LT","2,162.25","2,172.00","2,150.05","2,165.00","8.90","0.41","10.89","235.46","2,297.65","1,456.35","14.88","2.04"
"HDFCLIFE","483.90","491.50","482.00","483.30","1.25","0.26","71.18","345.01","623.70","473.70","-19.88","-20.57"
"TCS","3,468.90","3,493.00","3,461.40","3,467.00","7.05","0.20","14.56","506.35","3,854.10","2,926.10","-8.26","4.43"
"JSWSTEEL","708.00","720.65","706.10","712.25","1.20","0.17","19.47","138.95","790.00","520.05","9.38","-4.05"
"ASIANPAINT","2,762.00","2,774.50","2,748.15","2,759.00","4.80","0.17","7.32","202.34","3,582.90","2,560.00","-13.09","-7.54"
"SBIN","548.00","551.40","541.05","546.20","0.80","0.15","161.96","885.63","629.55","425.00","2.43","-10.12"
"COALINDIA","219.60","221.15","217.00","219.90","0.30","0.14","49.07","107.49","263.40","149.00","36.63","2.30"
"POWERGRID","218.00","218.20","215.10","217.30","0.25","0.12","75.27","162.98","248.35","186.35","1.71","3.92"
"HDFCBANK","1,659.40","1,664.90","1,632.60","1,652.00","0.25","0.02","51.32","847.20","1,722.10","1,271.60","12.52","3.41"
"CIPLA","1,029.80","1,034.85","1,021.30","1,028.90","-0.90","-0.09","9.65","99.34","1,180.10","888.15","10.24","-5.38"
"HDFC","2,684.40","2,694.90","2,654.00","2,680.65","-2.50","-0.09","24.94","668.09","2,933.80","2,026.00","10.40","2.48"
"ICICIBANK","855.00","856.00","847.20","852.10","-1.60","-0.19","93.37","795.17","958.20","642.15","8.35","-2.43"
"SBILIFE","1,143.00","1,147.85","1,124.45","1,135.00","-3.40","-0.30","17.42","197.41","1,340.35","1,003.50","-0.79","-13.12"
"RELIANCE","2,312.00","2,327.40","2,293.00","2,304.30","-7.15","-0.31","69.85","1,615.12","2,856.15","2,180.00","-0.55","-11.26"
"GRASIM","1,619.60","1,632.65","1,607.35","1,613.10","-5.00","-0.31","5.93","95.81","1,839.50","1,276.60","-5.80","-3.61"
"TATACONSUM","731.80","734.95","722.00","727.40","-2.35","-0.32","12.44","90.56","861.15","650.20","3.21","-5.16"
"TECHM","1,005.00","1,008.45","997.00","1,002.00","-3.35","-0.33","16.98","170.10","1,574.95","943.70","-30.62","-1.31"
"TITAN","2,456.30","2,459.75","2,432.10","2,449.05","-8.95","-0.36","5.63","137.68","2,791.00","1,825.05","1.65","-1.43"
"BHARTIARTL","793.90","795.85","783.00","786.35","-2.90","-0.37","41.27","325.47","860.55","628.75","11.30","-4.03"
"AXISBANK","886.85","888.40","871.50","879.40","-3.25","-0.37","50.55","444.54","970.00","618.25","11.37","-8.28"
"NESTLEIND","19,024.00","19,099.90","18,880.00","18,950.00","-71.50","-0.38","0.40","75.67","21,050.00","16,000.00","4.85","-5.65"
"INFY","1,569.00","1,576.05","1,555.10","1,563.10","-6.75","-0.43","43.36","679.55","1,923.30","1,355.00","-8.86","5.30"
"APOLLOHOSP","4,305.00","4,360.00","4,271.35","4,301.40","-19.30","-0.45","3.19","137.89","5,016.55","3,361.55","-3.88","-2.41"
"BPCL","334.00","336.20","331.55","332.00","-1.75","-0.52","17.40","58.02","398.80","288.05","-10.86","-4.25"
"M&M","1,382.90","1,385.00","1,361.00","1,368.80","-7.20","-0.52","14.14","193.73","1,391.95","671.15","65.02","4.46"
"BRITANNIA","4,639.00","4,664.00","4,596.70","4,600.65","-25.00","-0.54","3.27","151.39","4,664.00","3,050.00","33.41","5.42"
"ULTRACEMCO","7,154.95","7,205.00","7,052.15","7,085.00","-42.25","-0.59","2.95","209.99","7,548.95","5,157.05","-5.15","0.71"
"NTPC","166.50","167.70","164.30","165.00","-1.05","-0.63","87.00","144.01","181.85","123.65","22.09","-3.17"
"UPL","715.40","716.95","701.15","709.20","-5.35","-0.75","15.71","111.33","848.00","607.50","-6.26","-3.41"
"DIVISLAB","2,790.15","2,819.95","2,740.10","2,752.30","-25.70","-0.93","14.69","406.60","4,640.80","2,740.10","-34.49","-20.44"
"WIPRO","405.50","405.50","399.05","400.60","-4.05","-1.00","33.42","133.94","616.00","372.40","-28.08","2.25"
"HCLTECH","1,147.85","1,153.00","1,125.90","1,128.90","-16.80","-1.47","19.31","219.22","1,215.00","877.35","-2.46","5.76"
"TATAMOTORS","441.70","443.40","432.90","435.30","-6.70","-1.52","90.24","394.00","511.50","366.20","-11.99","11.77"
"HINDUNILVR","2,645.00","2,645.55","2,595.30","2,597.00","-40.60","-1.54","14.96","390.46","2,741.60","1,901.55","15.03","-1.03"
"SUNPHARMA","1,026.25","1,028.50","1,002.00","1,006.80","-16.55","-1.62","23.61","238.09","1,072.15","789.90","13.50","-0.99"
"MARUTI","8,908.00","8,920.00","8,752.55","8,760.00","-148.00","-1.66","3.19","280.36","9,769.00","6,536.55","2.92","4.57"
"HEROMOTOCO","2,686.00","2,694.80","2,615.05","2,648.00","-47.00","-1.74","4.22","111.59","2,938.60","2,146.85","-0.00","-3.79"
"ITC","383.90","383.90","368.45","373.40","-10.00","-2.61","206.44","771.37","388.20","207.00","62.21","10.46"
"HINDALCO","440.00","441.90","425.50","429.35","-18.00","-4.02","166.53","718.38","636.00","308.95","-17.84","-8.79"
"TATASTEEL","112.60","115.35","110.55","111.20","-6.25","-5.32","1,109.53","1,248.45","138.67","82.70","-90.60","-5.40"
